Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
GESTIÓN DE PRESUPUESTOS,GESTIÓN DE PRESUPUESTOS,IPP,IPP,Gestión de Presupuestos,,,,,,,"GESTIÓN DE LA EMPRESA AGRARIA,GESTIÓN CONTABLE,GESTIÓN CONTABLE,VENTA DIRECTA,ADMINISTRACIÓN DE RRHH,RELACIONES LABORALES,SEGUROS,RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,TÉCNICO EN RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,GESTIÓN DEL TALENTO HUMANO,GESTIÓN DE IA Y TRANSFORMACIÓN DIGITAL,DISEÑO DE PRODUCTO DIGITAL,ENERGÍAS RENOVABLES,GESTIÓN DE ALIMENTOS","NGEQ113 - 1er Año - 1A,NGEQ113 - 2do Año - 2A,NGEQ113 - 1er Año - 2A,NGEQ113 - 1er Año - 1A,NGEQ113 - 2do Año - 2A,NGEQ113 - 2do Año - 2A,NGEQ113 - 1er Año - 1A,NGEQ113 - 2do Año - 2A,NGEQ113 - 2do Año - 2A,NGEQ113 - 2do Año - 2A,NGEQ113 - 2do Año - 2A,NGEQ113 - 2do Año - 1A,NGEQ113 - 1er Año - 1B","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Específica,Fundamento,Fundamento,Fundamento,Fundamento","GESTIÓN DE PRESUPUESTOS - 2A-2025,GESTIÓN DE PRESUPUESTOS - 2A-2026","Finalizado,Pendiente","0%, NaN",NGEQ113,7085,,"1A,2A,2A,1A,2A,2A,1A,2A,2A,2A,2A,1A,1B","1er Año,2do Año,1er Año,1er Año,2do Año,2do Año,1er Año,2do Año,2do Año,2do Año,2do Año,2do Año,1er Año",
GESTIÓN DE PREVENCIÓN Y RIESGOS LABORALES,GESTIÓN DE PREVENCIÓN Y RIESGOS LABORALES,IPP,IPP,,,,,,,,"CLOUD ADMINISTRATION,CLOUD ADMINISTRATION","NGEQ051 - 1er Año - 2A,NGEQ051 - 3er Año - 2A","Específica,Específica",,,,NGEQ051,6285,,"2A,2A","1er Año,3er Año",
GESTIÓN DE PROYECTOS,GESTIÓN DE PROYECTOS,IPP,IPP,Gestión de Proyectos,"Proporcionar herramientas básicas para idear, planificar y ejecutar proyectos, que sirvan tanto para la vida laboral como personal.  
Brindar técnicas y herramientas que soportan el ciclo de vida del proyecto.
Utilizar herramientas de gestión digital para el diseño, planificación y monitoreo de los proyectos.",,,"Costa, C. (2004). La fusión atómica en la gestión de marcas del E-Branding al One-Branding. Harvard Deusto. Ediciones Deusto – Planeta de Agostini Profesional y Formación S.L.: pp. 1 a 9 https://elibro.net/es/ereader/ipp/14818?page=1",,,"TÉCNICO EN QUALITY ASSURANCE (QA),QUALITY ASSURANCE (QA),QA,QA,USER EXPERIENCE (UX),TÉCNICO EN USER EXPERIENCE (UX),TÉCNICO EN LOGÍSTICA,PEDAGOGÍA,VENTA DIRECTA,CLOUD ADMINISTRATION,TÉCNICO EN CLOUD ADMINISTRATION,CLOUD ADMINISTRATION,GESTIÓN DE LA EMPRESA AGRARIA,LOGÍSTICA,PROGRAMACIÓN,REDES INFORMÁTICAS,DISEÑO Y DESARROLLO DE IA,ENERGÍAS RENOVABLES,GESTIÓN DE ALIMENTOS","FUN0 - 2do Año - 2A,FUN0 - 2do Año - 1A,FUN0 - 2do Año - 1A,FUN0 - 2do Año - 1A,FUN0 - 2do Año - 2A,FUN0 - 1er Año - 3A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 1A,FUN0 - 2do Año - 2A,FUN0 - 2do Año - 1A,FUN0 - 2do Año - 1A,FUN0 - 2do Año - 2A,FUN0 - 1er Año - 2B","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Específica,Fundamento,Fundamento,Específica,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Específica,Específica","GESTIÓN DE PROYECTOS - 2A-2025,GESTIÓN DE PROYECTOS - 2B-2026","Finalizado,Pendiente","100%, NaN",FUN0,7331,,"2A,1A,1A,1A,2A,3A,2A,2A,2A,2A,2A,2A,2A,2A,1A,2A,1A,1A,2A,2B","2do Año,2do Año,2do Año,2do Año,2do Año,1er Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,2do Año,1er Año",
GESTIÓN DE PUBLICIDAD DIGITAL,GESTIÓN DE PUBLICIDAD DIGITAL,IPP,IPP,Gestión de Publicidad Digital,"El Resultado de Aprendizaje General de esta asignatura se orienta en que el estudiante conozca, analice y aplique las herramientas claves para la gestión de una campaña digital efectiva, siendo capaces de crear y diseñar anuncios digitales e implementar las herramientas de soporte y control de la optimización en la aplicación estratégica de la gestión de la publicidad en los medios digitales. ","Conceptos básicos de Publicidad Digital. Concepto de publicidad. Definición y beneficios de la publicidad digital. Conceptos básicos de la publicidad digital: audiencia, conversión, LEAD. Publicidad Online: Enfoques y principios. Historia de la publicidad online. Medios ganados e integrados y marketing display. Comunidad online y modelos de influencia. Objetivos y tipos de publicidad online: Objetivos de la publicidad digital. Tipos de publicidad digital. Herramientas de gestión de la publicidad digital. Medición y optimización del rendimiento de las campañas digitales. Soluciones automatizadas para marketing digital. Herramientas de comparación de precios (shopping) en el diseño de campañas. Herramientas de publicidad digital. Anuncios en catálogos online y anuncios digitales en video. Creación de campañas publicitarias, creación de textos y anuncios por grupos. Publicidad en buscadores y aplicaciones móviles. Características de la campaña publicitaria digital. Alcances y propósitos del diseño de una campaña publicitaria digital. Formulación estratégica de la campaña publicitaria digital. Creación de campañas publicitarias. Creación de anuncios digitales. Anuncios digitales, anuncios de textos, grupos de anuncios. Promoción de marcas con anuncios de catálogo de productos en shopping. Estrategias de ofertas para CPC. Definición de ofertas publicitarias en las campañas digitales. Reestructuración de campaña PPC. Desarrollo de combinaciones PPC en campañas digitales. Recopilación, medición y gestión de informes de PPC. Planificación del rendimiento. Optimización de PPC para móviles y shopping. Redacción publicitaria de anuncios PPC con ETA y CTA. Gestión de campañas publicitarias. Formulación y alcance de la campaña publicitaria digital. Redacción publicitaria de la campaña. Diseño de campañas para diferentes dispositivos y formatos: videos, segmentación de audiencias y campañas de display eficaces. Implementación de campañas de shopping. Anuncios de productos local. Catálogo de productos en shopping. Diseño de campañas para dispositivos diversos. Optimización en dispositivos móviles. Métricas de evaluación de una campaña publicitaria digital. Métricas de análisis de posicionamiento en buscadores. Valor de tiempo de vida del cliente. Engagement y Branded Reserach. Tráfico de referencias. ",,,,,COMERCIO ELECTRÓNICO (ECOMMERCE),"0343P11 - 1er Año - 1A,0343P11 - 2do Año - 1A","Específica,Específica",GESTIÓN DE PUBLICIDAD DIGITAL - 2A-2025,En proceso,NaN,0343P11,7044,,"1A,1A","1er Año,2do Año",
GESTIÓN DE RECURSOS HUMANOS,GESTIÓN DE RECURSOS HUMANOS,IPP,IPP,,,,,,,,,"0370P62A - 3er Año - 2A,0370P62A - 1er Año - 2A","Específica,Específica",,,,0370P62A,6452,,"2A,2A","3er Año,1er Año",
GESTIÓN DE RIESGOS,GESTIÓN DE RIESGOS,IPP,IPP,Gestión de Riesgos,"El Resultado General de Aprendizaje es que el estudiante será capaz de evaluar los riesgos financieros, de crédito y operacional que enfrentan las organizaciones.  ","Riesgos potenciales en las organizaciones. Riesgos Estratégicos que enfrentan las empresas y organizaciones. Matriz de Riesgos de empresas y organizaciones. Probabilidad de ocurrencia e impacto y su análisis. Evaluación y jerarquización de los riesgos (Matriz de Riesgos). Liquidez de la empresa y sus implicancias para el riesgo financiero. Exposición a cambios en las tasas de interés, y riesgo cambiario. Entorno de la organización y los posibles riesgos financieros. Programación financiera y gestión de riesgo de liquidez. perfil de riesgo de los clientes de la organización. Exposición al riesgo de crédito. Estimación de la exposición: método estándar, modelos de migración, método interno. Riesgo de concentración de clientes. Solvencia y capacidad de endeudamiento de clientes de la empresa. causas del riesgo operativo.  Eventos que provocan riesgo operativo. Riesgo de imagen o de reputación. Factores que inciden en el riesgo legal para las organizaciones 



","Tamayo Saborit, M., & Gonzalez Capote, D. (2020). La gestión de riesgos: herramienta estratégica de gestión empresarial. Editorial Universo Sur. 
Borbón Morales, C. G., Ozuna Beltrán, A. G. & García Cañedo, A. I. (2025). Guía para la implementación de un programa de gestión de riesgos empresariales. Academia Mexicana de Investigación y Docencia en Innovación (AMIDI). 
Vargas Moreno, M. A. (2020). Fundamentos de contabilidad. Instituto Mexicano de Contadores Públicos.http://site.ebrary.com/lib/ippsp/reader.action?ppg=302&docID=10505172&tm=1515187381576 
","García, P. V. M. (2014). Introducción a las finanzas (2a. ed.). México, D.F., MX: Grupo Editorial Patria.  
Benninga, S. (2015). Principios de finanzas con Excel. Málaga, ESPAÑA: IC Editorial.  
López, L. F., & García, E. P. (2005). Finanzas en el mundo corporativo: un enfoque práctico. Madrid, ES: McGraw-Hill España.  
Pérez, B. J. (2014). Finanzas internacionales: cómo gestionar los riesgos financieros internacionales.  
Santiago de Chile, CL: Editorial Universidad de  
Santiago 	de 	Chile. 	 
Morales, C. A., Morales, C. J. A., & Ramón, A. M. F.  
(2014). Administración financiera. Distrito Federal, MÉXICO: Grupo Editorial Patria.  
Aguirre Álvarez, J. (2014). Manual de finanzas corporativas (2a. ed.). Santiago de Chile, CL: Editorial Universidad de Santiago 	de 	Chile.
",,,"ANALISTA DE SISTEMAS,AGILE COACHING","NGEQ052 - 4to Año - 1A,NGEQ052 - 2do Año - 1A,NGEQ052 - 4to Año - 1A","General,Específica",,,,NGEQ052,6298,,"1A,1A,1A","4to Año,2do Año,4to Año",
Gestión de Servicios y Proveedores para la Industria Minera,,IPP,IPP,,,,,,,,,,,,,,,,,,,Gestión de Servicios y Proveedores para la Industria Minera - 1A-2026
GESTIÓN DE TRANSPORTE Y DISTRIBUCIÓN,GESTIÓN DE TRANSPORTE Y DISTRIBUCIÓN,IPP,IPP,Gestión de Transporte y Distribución,"El Resultado General del Aprendizaje será que al estudiante lograr alcanzar una visión integral de todos los medios de transporte y las instancias de distribución, desde la identificación de la carga, la selección de la carga y los servicios de distribución hasta el usuario final, con el propósito de optimizar los recursos empleados en el contexto del campo laboral.
","Logística. Transporte. Distribución. Tipos de medios y modos de Transporte: Transporte terrestre (Carretera y ferrocarril). Transporte marítimo. Transporte aéreo. Transporte Intermodal / multimodal. Transporte por ductos. Variables de Control: Cuadro de Mando. Conceptos y objetivos de los indicadores. Variables de control. Criterios de Decisión. Tendencias actuales. Tipos de elementos de traslado de carga: Envase y empaque. Diferentes tipos y tamaños Pallet. Tipos de Contenedores. Gestión de carga. Carga y Descarga. Cubicación. Gestión de Flota. Introducción. Metodología de Análisis. Modelo cuenta de explotación. Redes de Distribución. Aspectos a considerar en el diseño. Elementos de costos. Nivel de Cambio. Cambio Operativo. Rediseñar Sistemas (reingeniería). Nuevos Sistemas (revolución). Nivel de Cambio y Beneficios Esperado. Modelos tecnológicos utilizado en el transporte. Plataformas: Software, Excel, Portales, Aplicaciones. Telemetría. GPS. Sensores. Modelos Propuestos de Distribución. Distribución Directa. Distribución Escalonada. Ubicación de plantas. Modelo del Centro de Gravedad y Weber. Método Húngaro o Asignación de la distribución. ","Mikel Mauleon Torres; 2014; Transporte, Operadores, Redes; 1ra. Edición; España; Ediciones Díaz de Santos. 

Soler García, D., Mira Galiana, J. (2021). Manual del transporte de mercancías. Marge Books.  

Mora, García, Luis Aníbal; 2014; Logística del transporte y distribución de carga;1ra. Edición; México; Ediciones Ecoe.  

Ragàs Prat, Ignasi (2024). Logística urbana: la ciudad en la cadena de suministro. Marge Books.  

Rajadell, Carreras, Manel; 2009; Creación de Empresas; (3a. ed.); España; edited by UPC, Edicions, Universitat Politécnica de Catalunya. 

Arango Benjumea, Jhon Jaime (2022). Factores determinantes del proceso de creación y consolidación de empresas: una perspectiva social y económica del emprendimiento empresarial. Fondo Editorial Universidad Cooperativa de Colombia.  
","Mikel Mauleon Torres; 2014; Transporte, Operadores, Redes; 1ra. Edición; España; Ediciones Díaz de Santos. 

Mora, García, Luis Aníbal; 2014; Logística del transporte y distribución de carga;1ra. Edición; México; Ediciones Ecoe.  

Rajadell, Carreras, Manel; 2009; Creación de Empresas; (3a. ed.); España; edited by UPC, Edicions, Universitat Politécnica de Catalunya. 

Fernández, Díez de los Ríos, Javier; 2015; Transporte de larga distancia: organización del transporte y la distribución (COML0209); 1ra Edición; España; Editorial CEP, S.L. 

Mauleón, Torres, Mikel. Gestión de stock: excel como herramienta de análisis; 2008; 1ra Edición; España; Ediciones Díaz de Santos.  

Castellanos, Ramírez, Andrés. Manual de gestión logística del transporte y distribución de mercancías; 2009; 1era. Edición; Colombia; Editorial Universidad del Norte, 2009.  
",,,"TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN LOGÍSTICA","TCEQ021 - 2do Año - 2B,TCEQ021 - 2do Año - 2B,TCEQ021 - 2do Año - 2B","Específica,Específica,Específica",,,,TCEQ021,6398,,"2B,2B,2B","2do Año,2do Año,2do Año",
GESTIÓN DEL TALENTO HUMANO,GESTIÓN DEL TALENTO HUMANO,IPP,IPP,Gestión del Talento Humano,"Como Resultado General de Aprendizaje se espera que el estudiante comprenda las dinámicas propias de los procesos de selección, desarrollo y evaluación de personal, adicionalmente que sea capaz de aplicar las dinámicas propias del trabajo en equipo y pueda liderarlos",Planificación de Recursos Humanos. Reclutamiento y Selección de Personal. Capacitación y Desarrollo de Personal. Evaluación del Desempeño. Compensaciones e incentivos. Herramientas de Reclutamiento y Selección. Redes Sociales al servicio de las Comunicaciones. Sistemas de Recursos Humanos y sus funciones. ELearning. Teletrabajo. Cultura Organizacional y sus determinantes. Gestión del Cambio. Motivación. Comunicación. Liderazgo. Modelo del Observador y Mapas Mentales. ,"Luque, Francisco José (2021). Gestión de recursos humanos. Editorial ICB.  

Felisa Fernández López; Comunicación Efectiva y Trabajo en Equipo; 2022; Editorial Tutor Formación.  

Jiménez García, Alicia (2024). Gestión auxiliar de personal. IC Editorial.  

Gómez Rada, C.A., Vesga Rodríguez, J.J., García Rubiano, M (2020).  Clima organizacional: teoría y práctica. Universidad Católica de Colombia.  
","Ángel Manuel Bravo Realza; Planeación de recursos humanos; 2012; El Cid Editor, apuntes.  

Marketing Publishing; Gestión y motivación del personal; Ediciones Díaz de Santos 

Eduardo Jorge Arnoletto; Cultura, clima organizacional y comportamiento humano en las organizaciones; 2004; Dirección de Capacitación de Cuadros y Estudios de Dirección (DCCED).  

Ruiz Otero, Eugenio; López Barra, Soledad; Gestión de recursos humanos; 2013; McGraw-Hill España 

Tejedo Sanz, Javier; Iglesias Prada, Miguel Ángel; Gestión de Recursos Humanos; 2013; Macmillan Iberia, S.A. 

Sánchez Fernández, María Dolores; Gestión de recursos humanos; 2013; Editorial CEP, S.L. 
",,,"TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN PUBLICIDAD,TÉCNICO EN LOGÍSTICA","TRA007 - 2do Año - 2B,TRA007 - 2do Año - 2B,TRA007 - 2do Año - 2B,TRA007 - 2do Año - 2B,TRA007 - 2do Año - 2B","Fundamento,General,General,General,Fundamento",,,,TRA007,6207,,"2B,2B,2B,2B,2B","2do Año,2do Año,2do Año,2do Año,2do Año",
Gestión Estratégica y Planificación de Productos Digitales,,IPP,IPP,,,,,,,,,,,,,,,,,,,
GESTIÓN OPERATIVA DE PRODUCTO,,IPP,IPP,,,,,,,,,,,GESTIÓN OPERATIVA DE PRODUCTO - 2B-2026,Pendiente,NaN,,,,,,
GESTIÓN OPERATIVA DE PRODUCTO,,IPP,IPP,,,,,,,,,,,,,,,,,,,
GESTIÓN OPERATIVA EN LA NUBE,GESTIÓN OPERATIVA EN LA NUBE,IPP,IPP,,,,,,,,,,,,,,FUN15,7332,,,,
GESTIÓN Y MANEJO DE CONFLICTOS LABORALES,GESTIÓN Y MANEJO DE CONFLICTOS LABORALES,IPP,IPP,,,,,,,,"CLOUD ADMINISTRATION,CLOUD ADMINISTRATION","NGEQ053 - 1er Año - 2B,NGEQ053 - 3er Año - 2B","Específica,Específica",,,,NGEQ053,6290,,"2B,2B","1er Año,3er Año",
GOBIERNO REGIONAL Y LOCAL,GOBIERNO REGIONAL Y LOCAL,IPP,IPP,Gobierno Regional y Local,"- Identificar los diversos poderes del Estado, explicando su representación, responsabilidades y alcances.
- Explicar los conceptos relacionados con el desarrollo a escala humana y su relación con el ordenamiento territorial y su incidencia con el desarrollo local.
- Distinguir y relacionar los componentes, responsabilidades y alcances de la administración pública a nivel Local y Regional.
- Distinguir y relacionar los principales marcos normativos que rigen la labor de los empleados públicos a nivel de intendencia, gobernaciones, alcaldías y organismos públicos asociados.
",Antecedentes. Poderes del Estado. Estado y Globalización. Descentralización del Estado. Políticas Públicas. Desarrollo a Escala Humana. Descentralización y ordenamiento territorial. Desarrollo territorial. Ejes del proceso de descentralización de Chile. Ley 19097. Ley 19130. Ley 18695 Orgánica Constitucional de Municipalidades. Ley 19175 Orgánica Constitucional sobre Gobierno y Administración Regional. Constitución Política de la República. Ley 18575 Orgánica Constitucional de Bases Generales de la Administración del Estado. Planificación y desarrollo Regional y Local. Fuentes de Financiamiento para el Desarrollo Local y Regional. ,,,,,,"NGEQ054 - 2do Año - 1A,NGEQ054 - 2do Año - 1A","Específica,Específica",GOBIERNO REGIONAL Y LOCAL - 1A-2025,Finalizado,NaN,NGEQ054,6438,,"1A,1A","2do Año,2do Año",
GOOGLE ADWORDS I,GOOGLE ADWORDS I,IPP,IPP,,,,,,,,,0250P63A - 3er Año - 2A,Específica,,,,0250P63A,6213,,2A,3er Año,
GOOGLE ADWORDS II,GOOGLE ADWORDS II,IPP,IPP,,,,,,,,,0250P72A - 4to Año - 1A,Específica,,,,0250P72A,6217,,1A,4to Año,
GUÍA DE TURISMO,GUÍA DE TURISMO,IPP,IPP,Guía de Turismo,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P12 - 1er Año - 1A,Específica,,,,0361P12,6414,,1A,1er Año,
HABILIDADES DE PENSAMIENTO CRÍTICO,HABILIDADES DE PENSAMIENTO CRÍTICO,IPP,IPP,Habilidades de Pensamiento Crítico,,,,,,,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,"TRA008 - 1er Año - 1A,TRA008 - 1er Año - ",General,,,,TRA008,6152,,1A,"1er Año,1er Año",
HABILIDADES DIRECTIVAS,HABILIDADES DIRECTIVAS,IPP,IPP,Habilidades Directivas,"El Resultado General de Aprendizaje de la asignatura será: reconocer, comprender y aplicar las competencias y habilidades que requiere un líder para transformarse en un líder exitoso y efectivo.",Que son las HD?  Cuál es el alcance de las HD? Porque se requieren las HD?  Cuales son el impacto de las HD? Como se desarrollan las HD? Cuál es la clasificación de HD? Alta Dirección y su alcance. Componentes de la dirección. Dirección y habilidades para la administración. Administrador y líder. Comunicación y administración del tiempo. Creatividad y toma de decisiones. Trabajo en equipo y manejo de conflictos. Liderazgo y Negociación. Motivación. Habilidad estratégica y habilidad del pensamiento. ,"Castillo Drago, H. del. (2024). El líder virtuoso y las habilidades para la vida. Editorial Paulinas.
Guilera, L. (2021). Competencias directivas: claves para la gestión y el liderazgo (2ª ed.). Marge Books.
Goldberg, D. (2024). Liderazgo para los tiempos actuales: nuevos paradigmas y habilidades de coaching. Ediciones Granica.
","Ramos Ramos, P. (2014). Habilidades directivas (2.ª ed.). ICB Editores. 
Puchol Moreno, L. (2012). El libro de las habilidades directivas (3.ª ed.). Ediciones Díaz de Santos.",,,"CONTADOR AUDITOR,GESTIÓN HOTELERA,CONTADOR AUDITOR (PLAN ESPECIAL),GESTIÓN HOTELERA,CLOUD ADMINISTRATION,ANALISTA DE SISTEMAS,ANALISTA DE SISTEMAS,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ055 - 4to Año - 1B,NGEQ055 - 3er Año - 2A,NGEQ055 - 1er Año - 2B,NGEQ055 - 4to Año - 1B,NGEQ055 - 2do Año - 1B,NGEQ055 - 2do Año - 1B,NGEQ055 - 2do Año - 1B,NGEQ055 - 2do Año - 1B,NGEQ055 - 4to Año - 1B,NGEQ055 - 4to Año - 1B","General,Fundamento,Fundamento,General,General,General,General,General,General",,,,NGEQ055,6305,,"1B,2A,2B,1B,1B,1B,1B,1B,1B,1B","4to Año,3er Año,1er Año,4to Año,2do Año,2do Año,2do Año,2do Año,4to Año,4to Año",
HABILIDADES PARA LA COMUNICACIÓN ORAL Y ESCRITA,HABILIDADES PARA LA COMUNICACIÓN ORAL Y ESCRITA,IPP,IPP,Habilidades para la Comunicación Oral y Escrita,,,,,,,"TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL","TRA009 - 1er Año - ,TRA009 - 1er Año - ,TRA009 - 1er Año - 1B,TRA009 - 1er Año - 1B","General,General",,,,TRA009,6114,,"1B,1B","1er Año,1er Año,1er Año,1er Año",
HABILIDADES PARA LA EDUCACIÓN MATEMÁTICA,HABILIDADES PARA LA EDUCACIÓN MATEMÁTICA,IPP,IPP,Habilidades para la Educación Matemática,"El Resultado General de Aprendizaje es que nuestros estudiantes logren aplicar los diversos procedimientos del área matemática en la resolución de problemas y ejercicios en los diversos contextos que se le presenten, los cuales son necesarios para el desarrollo y la formación del estudiante que cursa su educación escolar.  ","Alfabetización matemática. Historia de la matemática. Resolución de problemas. Tipos de números. Funciones del número. Sistemas de numeración. Sistema decimal. Relación igualdad y desigualdad entre números. Pasos de resolución de problemas. Operatoria básica de la aritmética. Fracciones (tipos y operatoria). Lenguaje algebraico. Porcentaje. Tipos de geometría. Elementos básicos de la geometría. Ángulos. Figuras de dos dimensiones (2D). Figuras 3D. Transformaciones isométricas. Unidades de medida y sus características. Área, perímetro y volumen. Datos de la realidad expresados matemáticamente. Conceptos básicos de la estadística. Tablas de frecuencias. Población, muestra, individuo y dato. Variables. Representación gráfica de los datos. Medidas de tendencia central. Probabilidades.
",Módulos de estudio elaborados por el experto del espacio curricular a ser producidos por IPP. 	,"Sánchez Barrera, J. M., & Oaxaca Luna, J. A. (2023). Matemáticas aplicadas a los negocios con Excel financiero (4.ª ed.). UNAM, Facultad de Estudios Superiores Cuautitlán.​ 
 
Saldívar Zaldivar, A. D., & Zaldivar Navarro, D. (2022). Fórmulas y funciones matemáticas con Excel. RA-MA Editorial. ",,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO","CSEQ013 - 1er Año - 2A,CSEQ013 - 1er Año - 2A,CSEQ013 - 1er Año - 2A","Fundamento,Fundamento,Fundamento",,,,CSEQ013,6116,,"2A,2A,2A","1er Año,1er Año,1er Año",
HACKING ÉTICO,HACKING ÉTICO,IPP,IPP,Hacking ético,,"Introducción al Hacking Ético. Implementación del Hacking Ético. Requerimientos. Marco Legal. Ética del Hacker. Teoría de análisis de seguridad. Elementos esenciales de seguridad (Firewalls y redes, hardening y GPOs). Encriptaciones básicas (cifrado cesar) y encriptación AES. Propósitos y objetivos. Identificación de riesgos y mitigación. Mecanismos de seguridad: autorización y autenticación, MFA. Detección de intrusos, escaneo de Malware y ofuscación de data. Entrenamientos de Seguridad a las personas. Testing de seguridad en el ciclo de vida de software. El modelo de desarrollo seguro. Auditorías. Herramientas de hacking para un hacking ético. Tipos de pentesting o pruebas de penetración. Precisión, velocidad, eficiencia y cobertura. La selección de pruebas. Las fases del pentesting. Laboratorio de pruebas. Detección de vulnerabilidades web. Detección de vulnerabilidades en aplicaciones móviles. Hacking con Phyton. Procesos y diseño de Tests de seguridad. Informes de resultados.
",,,,,"TÉCNICO EN QUALITY ASSURANCE (QA),QUALITY ASSURANCE (QA),QA,QA",0231P42 - 2do Año - 2A,Específica,HACKING ÉTICO - 2B-2025,Reprogramado,NaN,0231P42,7163,,2A,2do Año,
HERRAMIENTAS COMPUTACIONALES,HERRAMIENTAS COMPUTACIONALES,IPP,IPP,Herramientas Computacionales,,,,,,,,"TCEQ022 - 1er Año - 1A,TCEQ022 - 1er Año - 1A","Específica,Fundamento",,,,TCEQ022,6492,,"1A,1A","1er Año,1er Año",
