Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
ADMINISTRACIÓN FINANCIERA II,ADMINISTRACIÓN FINANCIERA II,IPP,IPP,Administración Financiera II,,,,,,,"CONTADOR AUDITOR,GESTIÓN HOTELERA,CLOUD ADMINISTRATION,ANALISTA DE SISTEMAS,ANALISTA DE SISTEMAS,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ007 - 3er Año - 1B,NGEQ007 - 3er Año - 1B,NGEQ007 - 1er Año - 1B,NGEQ007 - 1er Año - 1B,NGEQ007 - 1er Año - 1B,NGEQ007 - 3er Año - 1B,NGEQ007 - 2do Año - 2B","Específica,Específica,Fundamento,Fundamento,Fundamento,Específica,Específica",ADMINISTRACIÓN FINANCIERA II - 2B-2025,Reprogramado,NaN,NGEQ007,6272,,"1B,1B,1B,1B,1B,1B,2B","3er Año,3er Año,1er Año,1er Año,1er Año,3er Año,2do Año",
ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,IPP,IPP,Administración General,El Resultado General de Aprendizaje es que el estudiante forme una visión general de los elementos teóricos fundamentales de la administración con elementos que le permiten relacionar los conceptos propios de la administración general con la administración del sistema de justicia	,"Historia y evolución de la administración. Escuelas de pensamiento. Contribuyentes pre-clásico. Escuela Científica – Frederick Taylor. Escuela del Proceso Administrativo – Henry Fayol. Escuela del Comportamiento Humano – Elton Mayo. Escuela Empriológica – Ernest Dale. Escuela Matemática o Cuantitativa – Terry. Escuela del Sistema Social – Chester I. Barnard. Escuela Racional o Decisional. Escuela Burocrática – Max Weber. Escuela Estructuralista. Escuela de la Teoría General de Sistemas. Principales conceptos del proceso administrativo, utilizados en las administraciones tanto públicas como privadas. Planificación. Organización. Dirección. Control. Interrelaciones existentes entre cada concepto, identificando otras variables intrínsecas del proceso, tales como el recurso humano, recursos financieros, tecnológicos, materiales; los que en su conjunto son insumos para proceso. Comunicación interna y cultura organizacional, aspectos que están presentes en toda organización y que influyen en todo proceso administrativo organizacional. Foco estratégico: Aspectos críticos de toda organización, para proponer implementar planes de mejora. El foco estratégico consiste en centrarse en lo relevante de la organización. Diseño de las 3M: Las 3M de toda organización: medir, fijar metas y utilización de los medios para el cumplimiento de ellas. Alineamiento estratégico: Coordinación de la implementación de la estrategia de organización, alineando las acciones internas que permitan cumplir con los objetivos estratégicos de la misma. Cultura de la ejecución: Distintas variables internas que pueden condicionar el logro de cualquier objeto interno. Agilidad organizacional: La estructura organizacional, y cómo esta puede agilizar los procesos o relentizarlos. Refinamiento: Concepto de las evaluaciones ex - post que son fundamentales en todo proceso de mejora. La modernización del Sistema de Justicia en Chile y su relación con los actuales conceptos de la administración. Principios que rigen la administración de justicia en la Justicia Penal, de Familia y Laboral y su relación con los modernos conceptos de la administración.","Administración - Gestión organizacional, enfoque y procesos - Félix Patiño Gómez Cap. La Administración y sus Escuelas – Pág. 137-152. 

Morales Sánchez, Carlos Fernando - Yepes Lugo, Cristian Armando (2020). Finanzas, gestión y entorno organizacional: estrategia, perspectiva socioambiental y análisis financiero.  Universidad de La Salle.  
 
Acevedo Gamboa, Diofante (2019). Medición y control de la gestión y resultados (4a. ed.). Ediciones de la U. 
 
Reyes Ortiz, G., Sanabria, M (2024). La estrategia organizacional: aproximaciones a la teoría y la práctica de este campo. Editorial Universidad del Rosario.  

Suca Apaza, F. (2012). Competitividad de la Quinua: una aplicación del modelo de Michael Porter.  B  -  EUMED.  capítulos  2  y 3 https://elibro.net/es/ereader/ipp/51667?page=7 

Martínez-Gómez, Jormaris (2024). Innovación y competitividad en las organizaciones. Universidad Católica Luis Amigó.","Chiavenato, Idalberto (2006) “Introducción a la teoría general de la administración”, Corea, Editorial McGraw Hill. 

Planificación Estratégica e indicadores de desempeño en el sector público; Armijo Mariela. CEPAL 

Control de Gestión y Evaluación de Resultados. Sanin, Héctor. CEPAL",,,"TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ,TÉCNICO JURÍDICO EN GESTIÓN JUDICIAL ",0630P14 - 1er Año - 1B,Fundamento,,,,0630P14,6591,,1B,1er Año,
ADMINISTRACIÓN PORTUARIA Y EXTRAPORTUARIA,ADMINISTRACIÓN PORTUARIA Y EXTRAPORTUARIA,IPP,IPP,Administración Portuaria y Extraportuaria,,,,,,,TÉCNICO EN COMERCIO EXTERIOR,0344P43A - 2do Año - 2A,Específica,,,,0344P43A,6380,,2A,2do Año,
AGENCIA DE TURISMO I,AGENCIA DE TURISMO I,IPP,IPP,Agencia de Turismo I,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P15 - 1er Año - 1B,Específica,,,,0361P15,6415,,1B,1er Año,
AGENCIA DE TURISMO II,AGENCIA DE TURISMO II,IPP,IPP,Agencia de Turismo II,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P24 - 1er Año - 2B,Específica,,,,0361P24,6419,,2B,1er Año,
AGENCIA Y ANÁLISIS PUBLICITARIO,AGENCIA Y ANÁLISIS PUBLICITARIO,IPP,IPP,,,,,,,,,0250P54A - 3er Año - 1B,Específica,,,,0250P54A,6210,,1B,3er Año,
ÁLGEBRA,ÁLGEBRA,IPP,IPP,Álgebra,,,,,,,"CONTADOR GENERAL,GESTIÓN HOTELERA,TÉCNICO EN CONTROL DE GESTIÓN,CONTADOR AUDITOR,GESTIÓN HOTELERA,CLOUD ADMINISTRATION,AGILE COACHING","TRA001 - 2do Año - 1B,TRA001 - 2do Año - 1B,TRA001 - 2do Año - 1B,TRA001 - 2do Año - 1B,TRA001 - 1er Año - 2B,TRA001 - 1er Año - 2B,TRA001 - 1er Año - 2B,TRA001 - 1er Año - 2B","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento",,,,TRA001,6248,,"1B,1B,1B,1B,2B,2B,2B,2B","2do Año,2do Año,2do Año,2do Año,1er Año,1er Año,1er Año,1er Año",
ANÁLISIS DE DATOS CUANTITATIVO Y CUALITATIVO,ANÁLISIS DE DATOS CUANTITATIVO Y CUALITATIVO,IPP,IPP,,,,,,,,,"0370P81A - 4to Año - 2B,0370P81A - 2do Año - 2B","Específica,Específica",,,,0370P81A,6460,,"2B,2B","4to Año,2do Año",
ANÁLISIS DE DATOS Y REPORTING,ANÁLISIS DE DATOS Y REPORTING,IPP,IPP,Análisis de datos y Reporting,"- Medir el rendimiento de los anuncios utilizando herramientas especializadas de las plataformas.
- Analizar datos de campañas utilizando estrategias analíticas y comparativas específicas.
- Identificar métricas de éxito relacionadas con campañas publicitarias.
- Realizar research de datos e interpretar indicadores de social media como disparadores de ideas.","Concepto, origen y adquisición de datos; research y estudios aplicados; etiquetas, píxeles y fuentes relevantes en analítica digital para social media, web y emailing. Plataformas de campañas digitales, objetivos, niveles, A/B testing y estimación de desempeño. Identificación y selección de métricas y KPI según objetivos en sitios web, e-commerce, email marketing y redes sociales. Plataformas y herramientas de análisis de datos, reportería y visualización; creación de informes, dashboards y personalización de paneles. Lectura de informes, análisis de desempeño histórico, benchmarking, detección de oportunidades y elaboración de propuestas de mejora continua y optimización basada en datos.",,,,,"SOCIAL MEDIA,TÉCNICO EN SOCIAL MEDIA,SOCIAL MEDIA",0461P23 - 1er Año - 2B,Específica,,,,0461P23,7129,,2B,1er Año,
ANÁLISIS DE ESTADOS FINANCIEROS,ANÁLISIS DE ESTADOS FINANCIEROS,IPP,IPP,,,,,,,,"ANALISTA DE SISTEMAS,AGILE COACHING","NGEQ008 - 1er Año - 1A,NGEQ008 - 3er Año - 1A","Específica,Específica",,,,NGEQ008,6270,,"1A,1A","1er Año,3er Año",
ANÁLISIS DE EXPERIENCIA DEL CLIENTE,ANÁLISIS DE EXPERIENCIA DEL CLIENTE,IPP,IPP,Análisis de experiencia del cliente,"El Resultado General de Aprendizaje de esta asignatura permitirá que el estudiante se interiorice y forme criterios de interés para su campo profesional y demuestre los conocimientos teóricos de los conceptos básicos fundamentales y transversales y sus aplicaciones prácticas, correspondientes a las áreas de customer experience. Además, incorporará metodologías de investigación y análisis desde diversas fuentes de información para la justificación de proyectos futuros. 
 	","Conceptos fundamentales de Customer Experience. Experiencia del cliente (CX) Definición. Era del consumidor y la cultura centrada en el cliente. Importancia del Rol del Cliente y sus características. Tipos de mapas del ciclo de vida del cliente. Ciclo de vida del cliente: seteo de objetivos. Ejemplos aplicados a contexto. Comportamiento y motivaciones del cliente. Conocer al cliente y sus tipos. Establecer una línea de base del ciclo de vida. El método del reloj de arena de marketing. Experiencia con el producto. Mapeo de los puntos de contacto del viaje del cliente. Establecer metas para el viaje del cliente. Resumen metas para el viaje del cliente. Experiencia del cliente en los primeros 90 días. Fidelizar clientes. Ejemplos aplicados a contexto. Un nuevo consumidor y sus expectativas. Buyer Persona: 5 anillos de insight del comprador. Diseño de estudio. Estrategias para entrevistas. Técnicas de estudio y mapeo específicas. Técnicas de sondeo. Identificación de patrones y personalidad. Análisis de segmentación. Diseño de principios estratégicos para el producto. 4P. Producto, artículo o servicio fabricado. Accesibilidad para los clientes. Establecimiento del precio, rentabilidad y ganancias. Promoción: Comunicación con clientes, prospectos y otras personas sobre el producto o servicio. Visión de CX. Variables del CX. Estrategias para el diseño de una visión de CX: Diseñar productos y servicios significativos. Establecer valores y principios. Involucrar a los clientes a nivel emocional. 
	",Módulo de estudio elaborado por el experto del espacio curricular a ser producido por IPP.,"Armstrong, G. Kotler, P. y Merino, M. J. (2011). Introducción al marketing. Pearson Educación. https://elibro.net/es/lc/ipp/titulos/113000 (Página 218-270)
https://sheribyrnehaber.medium.com/john-maedas-2020-cx-report-and-accessibility-d588d854b5e59
https://www.inboundcycle.com/blog-de-inbound-marketing/las-4-p-del-marketing-que-debes-conocer
https://medium.com/@shahrsays/from-cx-to-cvx-delivering-and-capturing-value-by-design-848561350192
https://medium.com/swhl/what-is-an-empathy-map-and-why-is-it-valuable-for-your-business-14236be4fdf4
",,,"SOCIAL MEDIA,TÉCNICO EN SOCIAL MEDIA,SOCIAL MEDIA,AGILE COACHING,TÉCNICO EN AGILE COACHING,RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,TÉCNICO EN RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,GESTIÓN DEL TALENTO HUMANO,COMERCIO ELECTRÓNICO (ECOMMERCE)","NGEQ112 - 2do Año - 2A,NGEQ112 - 2do Año - 2A,NGEQ112 - 2do Año - 1A,NGEQ112 - 1er Año - 1A,NGEQ112 - 1er Año - 1A,NGEQ112 - 1er Año - 1A","Fundamento,Fundamento,Específica,Específica,Específica,Específica",,,,NGEQ112,7084,,"2A,2A,1A,1A,1A,1A","2do Año,2do Año,2do Año,1er Año,1er Año,1er Año",
